Name	Top	Heart	Base	Gender
Eternity_Cologne_By_Calvin_Klein	Lavender,Lemon,Bergamot,Mandarin_Orange	Juniper_Berries,Sage,Coriander,Geranium,Basil,Jasmine,Orange_Blossom,Lily,lily_of_the_valley	Sandalwood,Vetiver,Musk,Brazilian_Rosewood,Amber	Men
Light_Blue_Perfume_By_Dolce_&_Gabbana	Sicilian_Lemon,Apple,Cedar,Bellflower	Bamboo,Jasmine,White_Rose	Cedar,Musk,Amber	Women
Bright_Crystal_By_Versace	Yuzu,Pomegranate,Water_Notes	Peony,Lotus,Magnolia	Musk,Mahogany,Amber	Women
Versace_Eros	Mint,Candy_Apple,Lemon,Mandarin_Orange	Ambroxan,Geranium,Clary_sage	Vanilla,Cedar,Sandalwood,Leather,Bitter_Orange,Patchouli	Men
Eternity_Perfume_By_Calvin_Klein	Green_Notes,Freesia,Sage,Citruses,Mandarin_Orange	Carnation,Lily,Lily_of_the_valley,Narcissus,Marigold,Violet,Rose,Jasmine	Heliotrope,Musk,Sandalwood,Amber,Patchouli	Women
Angel_Perfume_By_Thierry_Mugler	Bergamot,Mandarin,Helional,Hedione	Dewberry,Honey,Red_berries	Patchouli,Sandalwood_(Australian),Coumarin,Vanilla,Caramel,Chocolate	Women
White_Diamonds_Perfume_By_Elizabeth_Taylor	Lily_(Amazon),Neroli,Aldehydes	Iris_(Orris),Jasmine,Narcissus,Rose,Tuberose	Patchouli,Sandalwood,Oakmoss,Amber	Women
Elizabeth_Arden_Red_Door	Rose_(JFK),Ylang-ylang,Fruity_accord	Carnation,Freesia,Jasmine,Lily,Lily_of_the_Valley_(Muguet),Orange_blossom,Orchid_(Oriental),Violet	Sandalwood,Vetiver,Oakmoss,Musk,Honey	Women
Drakkar_Noir_Cologne_By_Guy_Laroche	Lemon_peel,Verbena	Lavender,Coriander,Fir_balsam,Juniperberry	Patchouli,Sandalwood,Balsam	Men
L'air_Du_Temps_Perfume_By_Nina_Ricci	Bergamot,Carnation,Rose_(Rosa_Centifolia)	Gardenia,Jasmine,Rose,Violet,Clove	Iris_(Orris),Cedarwood,Sandalwood,Amber,Musk	Women
Cool_Water_Cologne_By_Davidoff	Sea_Water,Lavender,Mint,Green_Notes,Rosemary,Calone,Coriander	Sandalwood,Neroli,Geranium,Jasmine	Musk,Tobacco,Oakmoss,Cedar,Amber	Men
Ck_One_Cologne_By_Calvin_Klein	Bergamot,Cardamom,Tea_(Green),Papaya,Pineapple	Rose,Violet,Nutmeg,Tea_(Green),Hedione_high_cis	Amber,Musks,Tea_(Green)	Men
Oscar_Perfume_By_Oscar_De_La_Renta	Orange_blossom,Basil,Cascarilla,Coriander	Jasmine,Rose_(May_Rose_or_Rose_de_Mai),Tuberose,Ylang-ylang,Vetiver,Broom	Clove,Myrrh,Patchouli,Sandalwood,Vetiver,Opopanax,Vanilla	Women
Obsession_Perfume_By_Calvin_Klein	Bergamot,Mandarin,Green_notes,Vanillin	Jasmine,Orange_blossom,Sandalwood,Vetiver,Coriander	Oakmoss,Amber,Musk,Incense	Women
Obsession_Cologne_By_Calvin_Klein	Bergamot,Mandarin	Lavender,Clove,Myrrh,Nutmeg,Coriander,Sage	Patchouli,Sandalwood,Vetiver,Amber	Men
Acqua_Di_Gio_Cologne_By_Giorgio_Armani	Bergamot,Mandarin,Calone,Neroli	Jasmine,Nasturtium,Rosemary,Hedione_high_cis	Cedarwood,Patchouli,Cistus_labdanum_(Rockrose),Musks_(white)	Men
Versace_Man_Cologne_By_Versace	Bergamot,Neroli,Pepper_(black),Angelica_flower	Cardamom,Saffron	Kashmir_wood_note,Tobacco_leaves,Amber,Cistus_labdanum_(Rockrose)	Men
L'eau_D'issey_(issey_Miyake)_Perfume_By_Issey_Miyake	Cyclamen,Freesia,Lotus_flower,Rose_water	Carnation(EdP),Lily_(white),Osmanthus(EdP),Peony	Woods_(precious),Amber,Musk	Women
Euphoria_Perfume_By_Calvin_Klein	Lush_green_accord,Persimmon,Pomegranate	Champaca,Lotus_flower,Orchid_(black)	Violet_(black),Mahogany,Amber_(liquid),Creamy_accord	Women
Lagerfeld_Cologne_By_Karl_Lagerfeld	Bergamot,Verbena,Basil,Coriander	Lavender,Rose,Clove,Patchouli	Oakmoss,Amber,Musk,Tobacco,Opopanax,Tonka_bean	Men
Jessica_Mc_Clintock_Perfume_By_Jessica_McClintock	Bergamot,Ylang-ylang,Basil,Blackcurrant_buds_(Cassis)	Lily_of_the_Valley_(Muguet),Rose	Woody_notes,Musk	Women
L'eau_D'issey_(issey_Miyake)_Cologne_By_Issey_Miyake	Mandarin,Yuzu,Verbena,Cypress,Coriander,Sage	Geranium,Waterlily_(blue),Cinnamon,Nutmeg,Saffron	Sandalwood,Vetiver,Amber,Musk,Tobacco	Men
Cool_Water_Perfume_By_Davidoff	Citrus_accord,Lotus_flower,Waterlily,Blackcurrant_buds_(Cassis),Honeydew_melon,Pineapple,Quince	Jasmine,Lily_of_the_Valley_(Muguet),Rose_(May_Rose_or_Rose_de_Mai)	Iris_(Orris),Mulberry,Orchid,Sandalwood	Women
Aramis_Cologne_By_Aramis	Bergamot,Gardenia,Cumin,Leaves_(green),Artemisia_(Armoise),Clary_sage,Thyme	Jasmine,Cardamom,Clove,Patchouli,Sandalwood,Vetiver,Oakmoss	Leather,Treemoss,Amber	Men
Beautiful_Perfume_By_Estee_Lauder	Mandarin,Lily,Marigold_(Tagete),Rose_(Bulgarian),Tuberose	Carnation,Jasmine_(Egyptian),Jasmine_(Moroccan),Lily_of_the_Valley_(Muguet),Orange_blossom,Ylang-ylang,Clary_sage,Thyme	Iris_(Orris),Myrrh,Sandalwood,Vetiver,Oakmoss,Cistus_labdanum_(Rockrose),Olibanum,Tonka_bean,Vanilla	Women
Pleasures_Perfume_By_Estee_Lauder	Lily_(white),Green_notes,Violet_leaves	Jasmine,Karo_karounde,Lilac,Lily_(black),Peony_(white),Rose,Rose_(Baie)	Patchouli,Sandalwood	Women
Sauvage_Cologne_By_Christian_Dior	Calabrian,Pepper	Sichuan_Pepper,Lavender,PinkPepper,Vetiver,Patchouli,Geranium,elemi	Ambroxan,Cedar,Labdanum	Men
Chrome_Cologne_By_Azzaro	Bergamot,Tea_(Green)	Spicy_citrus_accord,Aquatic_accord,Ginger	Sandalwood,Woods_(precious),Musk_(transparent)	Men
4711_Cologne_By_4711	Bergamot,Lemon,Orange,Petitgrain,Neroli	Rosemary,Rose	Musk,Wood	Men
Happy_Perfume_By_Clinique	Bergamot,Grapefruit_(ruby_red),Laurel,Mandarin_blossom	Boysenberry_flower,Jasmine_(Indonesian),Orchid_(Morning_Dew)	Crinum_lily_(white),Hawaiian_wedding_flower,Magnolia,Mimosa,Transparent_wood_note	Women
Aromatics_Elixir_Perfume_By_Clinique	Geranium,Orange_blossom,Verbena,Chamomile,Clary_sage	Jasmine,Rose,Tuberose,Ylang-ylang,Patchouli	Vetiver,Oakmoss,Amber,Civet	Women
Jimmy_Choo_Perfume_By_Jimmy_Choo	Pear,Mandarin_Orange,Green_Notes	Orchid	Toffee,Patchouli	Men
Azzaro_Cologne_By_Azzaro	Bergamot,Lemon,Petitgrain,Geranium,Lavender,Basil	Cardamom,Patchouli,Vetiver,Oakmoss,Anise_(Aniseed),Fennel	Sandalwood,Amber,Ambergris,Musk	Men
Jean_Paul_Gaultier_Cologne_By_Jean_Paul_Gaultier	Bergamot,Cardamom,Artemisia_(Armoise),Mint	Lavender,Orange_blossom,Cinnamon,Cumin	Cedarwood,Sandalwood,Amber,Tonka_bean,Vanilla	Men
Crystal_Noir_Perfume_By_Versace	Gardenia	Gardenia,Tuberose	Amber	Women
Joop_Cologne_By_Joop!	Bergamot,Jasmine,Orange_blossom,Cinnamon	Jasmine,Sandalwood,Vetiver,Tobacco,Honeysuckle,Honey	Patchouli,Sandalwood,Vetiver,Amber,Musk,Tonka_bean,Vanilla	Men
Paloma_Picasso_Perfume_By_Paloma_Picasso	Bergamot,Lemon,Hyacinth,Ylang-ylang,Clove,Angelica_root	Iris_(Orris),Jasmine,Lily_of_the_Valley_(Muguet),Rose_(May_Rose_or_Rose_de_Mai),Coriander	Cedarwood,Patchouli,Sandalwood,Vetiver,Oakmoss,Amber,Castoreum,Civet,Musk,Tobacco	Women
Alien_Perfume_By_Thierry_Mugler	Jasmine_(Sambac),Cardamom	Orange_blossom,Cumin,Cashmeran	Amber_(white),Heliotrope	Women
Lovely_Perfume_By_Sarah_Jessica_Parker	Bergamot,Mandarin,Lavender,Rosewood,Apple_martini	Orchid,Paperwhites_(indoor_narcissus),Patchouli	Cedarwood,Sultry_woods,Amber_(white),Musk	Women
Paul_Sebastian_Cologne	Lavender,Nutmeg,Celery	Geranium,Rose,Ylang-ylang,Clove,Spice	Patchouli,Oakmoss,Amber,Musk	Men
Giorgio_Perfume_By_Giorgio_Beverly_Hills	Bergamot,Orange_blossom,Green_notes,Aldehydes,Fruity_accord	Gardenia,Jasmine,Orchid,Tuberose,Ylang-ylang	Cedarwood,Sandalwood,Moss,Amber-like_notes,Musk-like_notes,Vanilla	Women
White_Shoulders_Perfume_By_Evyan	Neroli,Tuberose,Aldehydes	Gardenia,Iris_(Orris),Jasmine,Lilac,Lily_of_the_Valley_(Muguet),Rose	Sandalwood,Oakmoss,Amber,Civet,Musk	Women
Montblanc_Legend_Cologne_By_Mont_Blanc	Lavender,Pineapple,Bergamot,Lemon_Verbena	Red_Apple,Dried_Fruits,Oak_Moss,Geranium,Coumarin,Rose	Tonka_Bean,Sandalwood	Men
Boucheron_Perfume_By_Boucheron	Bergamot,Mandarin,Orange_(bitter),Marigold_(Tagete),Orange_blossom,Galbanum,Basil,Apricot	Jasmine_(Moroccan),Narcissus,Tuberose,Ylang-ylang,Broom	Patchouli,Sandalwood,Amber,Civet,Tonka_bean,Vanilla	Women
Viva_La_Juicy_Perfume_By_Juicy_Couture	Mandarin,Peach_nectar,Berries_(wild)	Gardenia,Jasmine,Orchid_(Coconut)	Wood_(creamy),Amber,Vanilla,Caramel	Women
Sunflowers_Perfume_By_Elizabeth_Arden	Bergamot,Melon,Peach	Ozonic_accord,Cyclamen,Jasmine,Osmanthus,Rose_(Tea)	Cedarwood,Sandalwood,Oakmoss,Amber,Musk	Women
Versace_Pour_Homme_Dylan_Blue_Cologne_By_Versace	Calabrian_bergamot,Water_Notes,Grapefruit,Fig_Leaf	Ambroxan,Black_Pepper,Patchouli,Violet_Leaf,Papyrus	Incense,Musk,Tonka_Bean,Saffron	Men
Tresor_Perfume_By_Lancôme	Lily_of_the_Valley_(Muguet),Rose_(white),Apricot,Peach,Peach_(white)	Iris_(Orris),Lilac,Rose,Heliotrope,Peach	Sandalwood,Vetiver,Amber,Musk,Vanilla	Women
Narciso_Rodriguez_Perfume_By_Narciso_Rodriguez	FLORAL_HONEY_ACCORD,Orange_blossom,Pink_floral_accord,Chypre_(pink)	AMBER_LIGHT_ACCORD,Amber,Musk_(soft),Vanilla	TACTILE_WOODS_ACCORD,Woods_(sheer),Musk	Women
Pink_Sugar_Perfume_By_Aquolina	Raspberry,Orange,Bergamot,Fig_Leaf	Cotton_Candy,Licorice,Red_Berries,Strawberry,Lily_of_the_valley	Caramel,Vanilla,Musk,Tonka_Bean,Sandalwood	Women
Grey_Flannel_Cologne_By_Geoffrey_Beene	Bergamot,Lemon,Orange,Neroli,Galbanum,Violet_leaves,Sage	Iris_(Orris),Jasmine,Mimosa,Rose,Violet,Ylang-ylang,Cinnamon,Clove	Sandalwood,Oakmoss,Musk	Men
Tabac_Cologne_By_Maurer_&_Wirtz	Bergamot,Petitgrain,Neroli,Pepper,Aldehydes	Geranium,Lavender,Chamomile	Carnation,Oak,Amber,Musk,Tobacco	Men
The_One_Cologne_By_Dolce_&_Gabbana	Grapefruit,Coriander_and_Basil	Ginger,Cardamom,Orange_Blossom	Amber,Tobacco,Cedar	Men
Green_Tea_Perfume_By_Elizabeth_Arden	Bergamot,Lemon,Orange,Orange_zest,Peppermint,Rhubarb	Carnation,Jasmine,Tea_(Green),Celery_seed	Oakmoss_Amber_(white),Musk	Women
Joy_Perfume_By_Jean_Patou	Rose_(Bulgarian),Tuberose,Ylang-ylang	Jasmine,Rose_(May_Rose_or_Rose_de_Mai)	Civet,Musk	Women
Versace_Pour_Homme_Cologne_By_Versace_for_Men	Bergamot,Diamante_citron,Orange_(leaves),Neroli	Geranium,Hyacinth_(blue),Cedarwood,Clary_sage	Oud_(Oudh,Agar_or_Aloeswood),Amber_(Mineral),Musk,Tonka_bean	Men
Club_De_Nuit_Intense_Cologne_By_Armaf	Lemon,Pineapple,Black_Currant,Bergamot,Apple	Birch,Jasmine,Rose	Musk,Ambergris,Patchouli,Vanilla	Men
Armani_Code_Cologne_By_Giorgio_Armani	Bergamot,Lemon	Olive_flower	Guaiac_wood,Tonka_bean	Men
Hugo_Cologne_By_Hugo_Boss	Bergamot,Grapefruit,Cedar_leaves,Pine_needles,Basil,Mint,Thyme,Apple_(green)	Geranium,Jasmine,Lavender,Clove,Aromatic_notes,Sage	Cedarwood,Patchouli,Sandalwood,Suede,Vetiver,Oakmoss,Musk-like_notes,Fir_balsam	Men
La_Vie_Est_Belle_Perfume_By_Lancôme	Black_Currant,Pear	Iris,Jasmine,Orange_Blossom	Praline,Vanilla,Patchouli,Tonka_Bean	Women
Daisy_Perfume_By_Marc_Jacobs	Grapefruit_(ruby_red),Violet_leaves,Strawberry_(wild)	Gardenia,Jasmine,Violet	Wood_(white),Musk,Vanilla	Women
Kenzo_Flower_Perfume_By_Kenzo	FLORAL_ENERGY_ACCORD,Hawthorn_(Aubepine),Rose_(Bulgarian),Violet_(Parma),Cassia_bark,Amber(Parfum)	POWDER_POWER_ACCORD,Musks_(white),Opopanax,Vanilla,Almond(Parfum)	URBAN_ENERGY_ACCORD,Cyclosal,Hedione	Women
Polo_Blue_Cologne_By_Ralph_Lauren	Tangerine,Melon_de_Cavaillon,Watermelon,Cucumber	Geranium,Verbena,Basil,Clary_sage	Amberwood,Patchouli,Washed_suede_note,Oakmoss,Musk_(sheer)	Men
Fantasy_Perfume_By_Britney_Spears	Kiwi,Lychee,Quince	Jasmine,Orchid_(white_chocolate),Cupcake_accord	Iris_(Orris),Woody_notes,Musk_(creamy)	Women
Burberry_Brit_Perfume_By_Burberry	Lime,Almond_(green),Pear_(iced)	Peony_(white),Almond_(sugared)	Mahogany,Amber,Tonka_bean,Vanilla	Women
Opium_Perfume_By_Yves_Saint_Laurent	Bergamot,Tangerine,Lily_of_the_Valley_(Muguet),Coriander,Pepper,Aldehydes,Plum(EdP)	Carnation,Jasmine,Rose,Ylang-ylang,Cinnamon,Clove,Myrrh,Peach	Cedarwood,Patchouli,Sandalwood_(Australian),Amber,Cistus_labdanum_(Rockrose),Musk,Benzoin,Opopanax,Vanilla	Women
Shalimar_By_Guerlain	Bergamot,Lemon	Jasmine,Rose,Rose_(May_Rose_or_Rose_de_Mai)	Iris_(Orris),Incense,Opopanax,Tonka_bean,Vanilla	Women
5th_Avenue_Perfume_By_Elizabeth_Arden	Bergamot,Mandarin,Lilac,Lily_of_the_Valley_(Muguet),Linden_blossom,Magnolia,Aldehydes	Jasmine,Rose_(Bulgarian),Tuberose,Violet,Ylang-ylang,Clove,Nutmeg,Peach	Iris_(Orris),Sandalwood,Amber,Musk,Tonka_bean,Vanilla	Women
Tommy_Girl_Perfume_By_Tommy_Hilfiger	Mandarin,Tangerine,Apple_blossom,Camellia,Leaves_(green),Spearmint,Blackcurrant_buds_(Cassis)	Heather,Jasmine_(desert),Magnolia,Rose_(Cherokee),Violet_(Butterfly),Honeysuckle	Cedarwood,Sandalwood	Women
Dolce_&_Gabbana_Pour_Homme_By_Dolce_&_Gabbana	Bergamot,Lemon,Mandarin,Orange,Neroli	Lavender,Cardamom,Pepper,Sage,Tarragon	Iris_(Orris),Cedarwood,Sandalwood,Musk,Tobacco,Coumarin,Tonka_bean	Men
Polo_Cologne_By_Ralph_Lauren	Spruce,Basil,Chamomile,Coriander,Thyme	Clove,Marjoram,Coriander	Leather,Patchouli,Oakmoss,Tobacco_leaves	Men
Flowerbomb_Perfume_By_Viktor_&_Rolf	Bergamot,Tea	Freesia,Jasmine_(Sambac),Orange_blossom,Orchid_(Cattleya),Rose_(Rosa_Centifolia)	Patchouli	Women
Cashmere_Mist_By_Donna_Karan	Bergamot	Jasmine_(Moroccan),Lily_of_the_Valley_(Muguet),Suede	Cashmere_accord,Sandalwood,Amber,Musk,Vanilla	Women
Jean_Paul_Gaultier_Perfume_By_Jean_Paul_Gaultier	Mandarin,Orange,Rose,Star_anise,Pear_liqueur,Rum	Iris_(Orris),Orange_blossom,Tuberose,Ylang-ylang,Ginger(EdT),Vanilla,Plum(EdT)	Amberwood,Sandalwood,Vanilla	Women
Versace_Yellow_Diamond_Perfume_By_Versace	Bergamot,Lemon,Neroli,Pear_sorbet	Freesia,Mimosa,Orange_blossom,Waterlily	Guaiac_wood,Amber,Musk	Women
Passion_Perfume_By_Elizabeth_Taylor	Gardenia,Jasmine,Lily_of_the_Valley_(Muguet),Rose,Ylang-ylang	Amber_spice_accord,Musk	Cedarwood,Patchouli,Sandalwood,Oakmoss,Incense	Women
1_Million_Cologne_By_Paco_Rabanne	Grapefruit,Mint,Blood_orange	Rose,Cinnamon,Spice_notes,Blond_leather_	White_woods,Amber,Patchouli	Men
Design_Perfume_By_Paul_Sebastian	Mandarin,Tangerine,Cyclamen,Green_notes,Herbs	Jasmine,Lilac,Lily_of_the_Valley_(Muguet),Neroli,Orange_blossom,Tuberose,Ylang-ylang,Aldehydes	Violet,Cedarwood,Vetiver,Oakmoss,Amber,Cistus_labdanum_(Rockrose),Musk,Powdery_notes	Women
Youth_Dew_Perfume_By_Estee_Lauder	Bergamot,Geranium,Chamomile	Carnation,Jasmine,Lily_of_the_Valley_(Muguet),Rose,Cinnamon,Clove	Patchouli,Vetiver,Oakmoss,Cistus_labdanum_(Rockrose),Benzoin	Women
Burberry_Touch_Cologne_By_Burberry	Mandarin_leaves,Violet_leaves,Artemisia_(Armoise)	Nutmeg,Pepper_(white),Cedarwood_(Virginia)	Vetiver,Musk_(Skin_accord),Tonka_bean	Men
Alfred_Sung_Perfume_By_Alfred_Sung	Galbanum,Peach,Bergamot,Coriander,Green	Orange_Blossom,Hyacinth,Muguet,Rose,Ylang-Ylang,Orris,Carnation	Cedar,Vetiver,Sandalwood,Moss,,Amber,Vanilla,Tolu,Musk	Women
Lolita_Lempicka_Perfume_By_Lolita_Lempicka	Leaves_(Ivy),Anise_(Aniseed)	Iris_(Orris),Violet,Cherry_(Amarena),Licorice	Vetiver,Musk,Benzoin,Tonka_bean,Vanilla,Praline	Women
Curve_Cologne_By_Liz_Claiborne	Bergamot,Lavender,Leaves_(green),Juniperberry	Bergamot,Cactus_flower,Cardamom,Fir_(Douglas),Ginseng	Pepper_(black),Mahogany,Sandalwood,Vetiver,Amber	Men
Jadore_Perfume_By_Christian_Dior	Bergamot,Mandarin,Champaca,Leaves_(Ivy)	Jasmine_(Sambac),Rose_(Turkish,Ottoman),Sweet_pea(EdT),Violet,Orchid_(crystallised)	Amaranth_wood,Musk_(blackberry),Plum_(Damson)	Women
Romance_Perfume_By_Ralph_Lauren	Tangerine,Freesia_(yellow),Marigold_(Tagete),Rose_(Sungoddess),Ginger,Chamomile	Lily_(Day),Lotus_flower,Violet	Exotic_woods,Patchouli,Oakmoss,Musk_(Skin_2000_accord)	Women
Jovan_Musk_Perfume_By_Jovan	Lemon,Lavender,Spearmint,Aldehydes	Lily_of_the_valley,neroli,Ylang-ylang,clove	Patchouli,Vetiver,Amber,Musk	Women
The_One_Perfume_By_Dolce_&_Gabbana	Bergamot,Mandarin,Lychee,Peach	Jasmine,Lily_(Madonna),Lily_of_the_Valley_(Muguet)	Vetiver,Amber,Musk,Vanilla,Plum	Women
Canoe_Cologne_By_Dana	Bergamot,Lemon,Lavender,Clary_sage	Geranium,Clove,Cedarwood	Oakmoss,Musk,Heliotrope,Vanilla	Men
Maja_Perfume_By_Myrurgia	Bergamot,Orange,Nutmeg	Geranium,Rose_(Bulgarian),Tuberose,Clove,Nutmeg	Patchouli,Vetiver,Oakmoss,Amber,Vanilla	Women
Amarige_Perfume_By_Givenchy	Peach,Plum,Orange,Mandarin,Rose_Wood,Neroli	Mimosa,Neroli,Tuberose,Gardenia,Acacia,Black_Currant	Musk,Sandalwood,Vanilla,Amber,Tonka_Bean,Cedar	Women
Be_Delicious_Perfume_By_Donna_Karan	Grapefruit,Apple_(red),Cucumber	Lily_of_the_Valley_(Muguet),Magnolia,Rose,Tuberose,Violet	Sandalwood,Woods_(blonde),Amber_(white),Tender_skin_accord	Women
